SessionEntryID,SessionID,SessionEntryiRacingID,EntryName,IsTeam,CarID,FinishPosInClass,StartPositionInClass,ClassID,EntryIncidents,GapToLeader,LapsCompleted,FinalLapFinishTime,OverallFinishPos,OverallStartPos,StartPos,ReasonOut,ChampPoints
179,4,-81577,Alpinestars Geodesic Racing Black,True,3,1,9,2,20,-,148,17183.599899999997,15,27,9,Running,0
180,4,-139445,Hugh Jass - Gold,True,3,2,10,2,13,0.3121,148,17183.6542,16,28,10,Running,0
190,4,-31183,SRN Motorsports Black,True,2,12,11,2,24,2 Laps,146,17113.9305,26,29,11,Running,0
206,4,-92080,GermanSimRacing.de by ACV,True,4,16,12,2,42,7 Laps,141,17209.2376,42,30,12,Running,0
182,4,-178579,Eclipse Racing Team,True,2,4,13,2,20,27.2674,148,17211.887,18,31,13,Running,0
191,4,-142020,Fiercely Forward GT,True,2,13,14,2,27,2 Laps,146,17203.408900000002,27,32,14,Running,0
189,4,-149181,Sapphire Simsport Alpha,True,2,11,15,2,43,1 Laps,147,17178.2758,25,33,15,Running,0
181,4,-80951,Torque Freak Racing TeamSpeak,True,2,3,16,2,18,20.3312,148,17204.0882,17,34,16,Running,0
211,4,-31182,SRN Motorsports Orange,True,3,19,17,2,30,11 Laps,137,17195.644800000002,47,35,17,Running,0
183,4,-268704,Sim City Racing,True,2,5,18,2,18,1 Laps,147,17107.925900000002,19,36,18,Running,0
214,4,-287037,Fiercely Forward,True,5,21,19,2,18,103 Laps,45,5248.9033,50,37,19,Disconnected,0
210,4,-225287,Hugh Jass - Blue,True,2,18,20,2,40,9 Laps,139,17281.5951,46,38,20,Running,0
213,4,-59992,GermanSimRacing #Green,True,4,20,21,2,21,70 Laps,78,9025.9062,49,39,21,Disconnected,0
195,4,-193774,Impulse Racing #222,True,6,3,1,3,38,27.9946,145,17225.0255,31,41,1,Running,0
207,4,-289688,Brabham Esports CS,True,6,13,2,3,33,6 Laps,139,17157.8271,43,42,2,Running,0
205,4,-288978,Ingersoll Rand TCR,True,6,12,3,3,48,4 Laps,141,16773.407,41,43,3,Running,0
201,4,-253719,Maniti Racing $IVRA TCR,True,6,9,4,3,28,1 Laps,144,17195.9676,37,44,4,Running,0
196,4,-180125,SIMRACINGPRO RACING TEAM TCR,True,6,4,5,3,30,1 Laps,144,17135.9329,32,45,5,Running,0
200,4,-289690,Brabham Esports CS Hissing Sid,True,6,8,6,3,35,1 Laps,144,17181.751300000004,36,46,6,Running,0
197,4,-220772,Impulse Racing #233,True,6,5,7,3,29,1 Laps,144,17145.9158,33,47,7,Running,0
193,4,-65569,Team Heusinkveld #248,True,6,1,8,3,48,-,145,17192.7952,29,48,8,Running,0
199,4,-130308,Full Send Racing #287,True,7,7,9,3,27,1 Laps,144,17166.2269,35,49,9,Running,0
212,4,-140023,Full Send Racing #285,True,6,15,10,3,18,61 Laps,84,9999.7332,48,50,10,Disconnected,0
194,4,-276314,RSR by ButtKicker #267,True,6,2,11,3,23,15.8731,145,17208.351799999997,30,51,11,Running,0
204,4,-258978,Big One Club 225,True,7,11,12,3,25,3 Laps,142,17192.1982,40,52,12,Running,0
208,4,-284527,Fiercely Forward TCR,True,6,14,13,3,24,6 Laps,139,17147.951500000003,44,53,13,Running,0
198,4,-115095,Alpinestars Geodesic Racing Echelon,True,6,6,14,3,22,1 Laps,144,17157.4733,34,54,14,Running,0
202,4,-246175,Olympus eSports,True,8,10,15,3,28,1 Laps,144,17208.8117,38,55,15,Running,0
219,4,-127049,Tri-Racing,True,8,16,16,3,5,142 Laps,3,1812.0033,55,56,16,Disconnected,0
223,5,-152878,SRC Mivano Corse,True,9,4,1,4,18,0.1987,37,7719.6778,4,0,0,Running,0
221,5,-270215,Race Clutch,True,9,2,2,4,17,0.0895,28,7841.030699999999,2,0,0,Running,0
224,5,-182782,Puresims Esports $IVRA,True,9,5,3,4,21,0.3477,32,6286.6089999999995,5,0,0,Running,0
228,5,-83099,Team RSO #17,True,9,9,4,4,16,0.7259,37,7845.562900000001,9,0,0,Running,0
232,5,-280585,Valkyrie Exype,True,9,13,5,4,11,1.052,25,7473.3251,13,0,0,Running,0
233,5,-60020,GermanSimRacing #Blue,True,9,14,6,4,6,1.3782,27,7379.3804,14,0,0,Running,0
