LapID,DriverEntryID,LapTime,LapStartTime,LapInSession,CleanLap,BlackFlag,CarContact,CarReset,Contact,Discontinuity,Invalid,LostControl,OffTrack,Pitted,Tow,EventCategory,PositionInClass,BestLapOnLap,LeaderLapStartTime,PercentageGapToBestLap,GapToClassLeader
3498,216,85.0074,13170.3324,141,1,0,0,0,0,0,0,0,0,0,0,,3,84.325,13135.0014,0.8092499258819998,35.33100000000013
5257,236,84.9535,10871.596,113,1,0,0,0,0,0,0,0,0,0,0,,16,83.4235,10725.4884,1.8340155951260755,146.10759999999937
7142,257,86.5791,4012.6483,33,1,0,0,0,0,0,0,0,0,0,0,,19,82.4739,3416.4798,4.977574723639833,596.1684999999998
7845,267,102.2409,5989.3089,56,0,0,0,0,0,0,0,1,1,0,0,"Lost Control, Off Track",15,87.5961,5956.4205,16.718552538297928,32.88839999999982
9114,282,90.8933,908.085,7,1,0,0,0,0,0,0,0,0,0,0,,5,90.8112,904.2658,0.09040735063516081,3.8192000000000235
9348,284,101.9301,15507.6449,156,0,0,0,0,0,0,0,0,1,1,0,"Off Track, In Pits",7,89.8118,15367.0324,13.49299312562492,140.61249999999927
10214,294,90.783,10672.08,97,1,0,0,0,0,0,0,0,0,0,0,,11,90.1389,9924.5408,0.7145638564481942,747.5391999999993
10396,297,154.4572,2697.9828,25,1,0,0,0,0,0,0,0,0,1,0,In Pits,10,127.4314,2688.8675,21.208116680818065,9.115300000000389
10701,304,88.6446,1414.2433,13,1,0,0,0,0,0,0,0,0,0,0,,17,87.4693,1395.8975,1.343671436721209,18.345800000000054
656,30,83.376,1426.5474,10,1,0,0,0,0,0,0,0,0,0,0,,7,83.376,1203.9855,0.0,222.56189999999992
2574,158,-0.0001,31.4614,0,1,0,0,0,0,0,0,0,0,1,0,In Pits,4,,21.9224,,9.539000000000001
4836,231,88.0159,4011.9241,40,1,0,0,0,0,0,0,0,0,0,0,,5,84.4938,4002.6481,4.168471532822537,9.276000000000295
10715,304,172.2141,2857.1747,27,1,0,0,0,0,0,0,0,0,0,0,,2,172.2029,2856.15,0.006503955508293302,1.0246999999999389
1948,93,92.186,826.7627,4,1,0,0,0,0,0,0,0,0,0,0,,3,91.2611,766.98,1.0134657592336822,59.78269999999998
4732,230,83.8536,11354.6472,119,1,0,0,0,0,0,0,0,0,0,0,,13,83.2619,11229.7888,0.7106491684672136,124.85839999999916
5903,243,88.3676,9461.3651,95,1,0,0,0,0,0,0,0,0,0,0,,1,88.3676,9461.3651,0.0,0.0
5920,243,88.5841,10963.4276,112,1,0,0,0,0,0,0,0,0,0,0,,1,88.5841,10963.4276,-1.4210854715202004e-14,0.0
9467,286,93.0356,10582.5948,103,1,0,0,0,0,0,0,0,0,0,0,,9,91.095,10489.9879,2.130303529282614,92.60690000000068
1148,54,87.7514,1256.4453,4,1,0,0,0,0,0,0,0,0,0,0,,10,86.6065,688.1329,1.3219562042110198,568.3124000000001
1585,75,91.3675,5981.2773,37,1,0,0,0,0,0,0,0,0,0,0,,6,91.1106,3886.6288,0.28196499638899297,2094.6485
4651,229,85.1268,13954.914,149,1,0,0,0,0,0,0,0,0,0,0,,10,83.1245,13842.1806,2.4087964438883915,112.73340000000098
7665,264,88.8472,12178.2968,124,1,0,0,0,0,0,0,0,0,0,0,,10,87.7452,12078.2204,1.2559091551446642,100.07639999999992
7681,264,88.5243,13601.7852,140,1,0,0,0,0,0,0,0,0,0,0,,8,87.7037,13488.4733,0.9356503773501004,113.3119000000006
10625,301,91.8191,9020.3262,74,1,0,0,0,0,0,0,0,0,0,0,,13,90.4434,7796.224,1.5210617911312454,1224.1021999999994
5027,233,83.5571,6100.0172,59,1,0,0,0,0,0,0,0,0,0,0,,8,82.816,6092.1258,0.8948753863987662,7.891400000000431
5174,235,84.6868,11695.7673,123,1,0,0,0,0,0,0,0,0,0,0,,13,83.3886,11619.7085,1.556807525249269,76.05879999999888
9527,286,91.8472,16256.7284,163,0,0,0,0,0,0,0,0,1,0,0,Off Track,8,89.7846,15998.1757,2.2972759248245183,258.5527000000002
774,36,95.4646,1484.7147,1,0,0,0,0,0,0,0,0,1,1,0,"Off Track, In Pits",17,83.9114,424.626,13.76833183572198,1060.0887
2406,136,90.4416,581.111,4,1,0,0,0,0,0,0,0,0,0,0,,10,90.4416,473.7731,0.0,107.33789999999999
3222,213,85.6895,912.8293,8,1,0,0,0,0,0,0,0,0,0,0,,4,85.3676,910.2419,0.3770751432627719,2.5874000000000024
3245,213,82.6938,3251.6802,31,0,0,0,0,0,0,0,0,1,0,0,Off Track,2,82.6938,3251.3566,0.0,0.3235999999997148
5107,234,84.1586,5857.0955,56,1,0,0,0,0,0,0,0,0,0,0,,16,82.7152,5844.4465,1.745023889200553,12.649000000000342
7521,262,88.7978,14638.292,151,1,0,0,0,0,0,0,0,0,0,0,,10,87.761,14493.228,1.1813903670195174,145.0640000000003
4361,226,85.1382,4269.7779,43,1,0,0,0,0,0,0,0,0,0,0,,5,84.3682,4264.3931,0.9126661467235238,5.384799999999814
