LapID,DriverEntryID,LapTime,LapStartTime,LapInSession,SessionEntryID,LapTimeLoss,PitInstanceInSession
5308,236,123.3519,15303.7656,164,167,33.09573461538464,6
5309,236,90.7821,15394.5477,165,167,0.5259346153846423,6
5332,237,192.8846,857.0262,6,167,102.62843461538465,1
5333,237,90.7598,947.786,7,167,0.5036346153846409,1
5352,237,273.3653,2813.3185,26,167,183.10913461538462,2
5353,237,93.0515,2906.37,27,167,2.795334615384647,2
5376,237,284.9266,5329.4448,50,167,194.67043461538464,3
5377,237,93.1947,5422.6395,51,167,2.93853461538464,3
5441,238,149.4939,2526.2,26,168,57.94349785714286,1
5442,238,166.4492,2692.6492,27,168,74.89879785714285,1
5466,238,165.681,5200.5287,51,168,74.13059785714287,2
5467,238,211.8434,5412.3721,52,168,120.29299785714286,2
5476,238,94.3052,6282.2545,61,168,2.7547978571428615,3
5477,238,184.3793,6466.6338,62,168,92.82889785714286,3
5506,238,96.4562,8921.9493,91,168,4.905797857142858,4
5507,239,272.687,9194.6363,92,168,181.13659785714287,4
5544,239,94.8637,12330.1868,129,168,3.3132978571428566,5
5545,239,172.5655,12502.7523,130,168,81.01509785714285,5
5582,239,94.9907,15633.8931,167,168,3.440297857142866,6
5583,239,134.4067,15768.2998,168,168,42.85629785714286,6
5596,240,162.3766,2694.9701,27,169,71.40960479452058,1
5620,240,166.0844,5207.2514,51,169,75.11740479452057,2
5621,240,160.2862,5367.5376,52,169,69.31920479452059,2
5661,240,95.928,8921.1525,92,169,4.961004794520576,3
5692,240,179.8714,16648.7964,178,169,88.90440479452057,5
5721,241,150.5097,2532.5935,26,169,59.54270479452059,1
5722,241,165.0446,9086.1971,93,169,74.07760479452058,3
5758,241,95.8179,12153.973,129,169,4.850904794520574,4
5759,241,147.2989,12301.2719,130,169,56.33190479452058,4
5802,242,189.3739,2574.2481,25,170,95.88851925465835,1
5803,242,127.1663,2701.4144,26,170,33.68091925465836,1
5827,242,192.8992,5254.7857,50,170,99.41381925465836,2
5828,242,130.1929,5384.9786,51,170,36.707519254658365,2
5863,242,140.2919,14159.9165,147,170,46.806519254658355,5
5864,242,94.903,14254.8195,148,170,1.4176192546583621,5
5894,243,142.2053,8661.2372,86,170,48.71991925465835,3
5895,243,94.5544,8755.7916,87,170,1.0690192546583575,3
5927,243,139.5367,11632.4231,119,170,46.05131925465835,4
5928,243,93.6541,11726.0772,120,170,0.16871925465835602,4
5955,244,194.6482,2584.8938,25,171,102.20325985401459,1
5956,244,119.809,2704.7028,26,171,27.364059854014585,1
5980,244,142.4892,8498.133,84,171,50.0442598540146,3
5981,244,94.6071,8592.7401,85,171,2.1621598540145897,3
6013,244,142.8423,11473.7034,117,171,50.39735985401458,4
6014,244,94.6047,11568.3081,118,171,2.159759854014581,4
6072,245,200.4769,5267.626,50,171,108.03195985401459,2
6073,245,120.9728,5388.5988,51,171,28.527859854014594,2
6106,245,141.9082,14536.14,151,171,49.46325985401458,5
6107,245,94.0257,14630.1657,152,171,1.5807598540145875,5
6133,246,143.3831,8755.3775,87,172,49.31722738853506,3
6134,246,94.9615,8850.339,88,172,0.895627388535047,3
6169,246,142.9628,12011.7018,123,172,48.89692738853503,4
6170,246,93.9874,12105.6892,124,172,-0.0784726114649601,4
6204,246,125.1782,15147.7186,158,172,31.11232738853505,5
6205,246,93.6235,15241.3421,159,172,-0.4423726114649469,5
6248,247,189.6108,2570.8467,25,172,95.54492738853506,1
6249,247,127.7955,2698.6422,26,172,33.72962738853505,1
6273,247,192.5256,5252.2405,50,172,98.45972738853504,2
6274,247,131.8933,5384.1338,51,172,37.82742738853506,2
6310,248,137.6752,8667.7412,86,173,43.918230357142875,3
6311,248,95.1868,8762.928,87,173,1.4298303571428903,3
6339,248,139.0951,11298.6239,115,173,45.33813035714289,4
6340,248,95.8507,11394.4746,116,173,2.0937303571428885,4
6369,248,136.3245,14009.6428,145,173,42.567530357142886,5
6370,248,94.7955,14104.4383,146,173,1.0385303571428892,5
6426,249,183.3837,2563.4126,25,173,89.62673035714289,1
6427,249,132.0953,2695.5079,26,173,38.338330357142894,1
6451,249,202.3148,5263.2068,50,173,108.55783035714288,2
6452,249,123.8488,5387.0556,51,173,30.091830357142882,2
6512,250,193.0886,2584.6209,25,174,99.46635375000002,1
6513,250,119.4798,2704.1007,26,174,25.857553750000008,1
6537,250,202.1375,5268.5954,50,174,108.51525375,2
6538,250,122.1281,5390.7235,51,174,28.505853750000014,2
6574,250,94.2064,8807.6923,87,174,0.5841537500000129,3
6596,251,143.5344,10806.3331,109,174,49.912153750000016,4
6597,251,93.9673,10900.3004,110,174,0.34505375000000527,4
6630,251,143.457,13858.5156,143,174,49.834753750000004,5
6631,251,93.7015,13952.2171,144,174,0.07925375000000656,5
6664,252,143.5714,6811.1722,65,175,49.84406202531653,2
6665,252,95.2758,6906.448,66,175,1.5484620253165247,2
6699,252,143.5263,9980.3057,100,175,49.79896202531651,3
6700,252,94.4045,10074.7102,101,175,0.6771620253165196,3
6734,252,143.5459,13143.7139,135,175,49.81856202531651,4
6735,252,94.2684,13237.9823,136,175,0.5410620253165206,4
6762,252,110.0388,15647.3588,163,175,16.311462025316516,5
6763,252,93.9757,15741.3345,164,175,0.24836202531652418,5
6802,253,192.2372,2727.8448,26,175,98.50986202531652,1
6803,253,155.5651,2883.4099,27,175,61.83776202531652,1
6866,254,146.2713,9065.1186,90,176,52.624161728394995,3
6867,254,106.7431,9171.8617,91,176,13.095961728394997,3
6901,254,182.3217,12272.9646,125,176,88.67456172839499,4
6902,254,93.5213,12366.4859,126,176,-0.12583827160500505,4
6923,254,120.7709,14258.3546,147,176,27.123761728394996,5
6924,254,94.1226,14352.4772,148,176,0.475461728395004,5
6953,255,189.0154,2577.0399,25,176,95.368261728395,1
6954,255,125.1274,2702.1673,26,176,31.480261728394993,1
6980,255,214.7456,5591.0101,52,176,121.098461728395,2
6981,255,115.3231,5706.3332,53,176,21.675961728394995,2
7018,256,150.8757,8997.0164,85,177,56.472090259740256,3
7055,256,95.3161,12140.9722,122,177,0.9124902597402667,4
7056,256,150.22,12291.1922,123,177,55.81639025974026,4
7093,256,96.5176,15457.2309,160,177,2.1139902597402624,5
7094,256,109.9052,15567.1361,161,177,15.501590259740254,5
7116,257,655.4263,1427.3358,7,177,561.0226902597402,1
7153,257,167.5902,5203.5468,44,177,73.18659025974027,2
7154,257,169.6975,5373.2443,45,177,75.29389025974025,2
7193,257,95.4312,8846.1407,84,177,1.0275902597402649,3
7194,258,145.1178,8809.6059,87,178,51.484745061728376,3
7195,258,94.9947,8904.6006,88,178,1.3616450617283817,3
7229,258,142.853,11980.8637,122,178,49.219945061728396,4
7230,258,94.7703,12075.634,123,178,1.1372450617283931,4
7264,258,127.104,15147.2021,157,178,33.470945061728386,5
7265,258,95.3652,15242.5673,158,178,1.7321450617283887,5
7283,259,185.6523,2593.8479,25,178,92.01924506172838,1
7284,259,116.548,2710.3959,26,178,22.91494506172839,1
7308,259,200.1401,5280.3108,50,178,106.50704506172838,2
7309,259,119.302,5399.6128,51,178,25.668945061728394,2
7395,261,194.6055,2591.5645,25,179,99.68225694444442,1
7396,261,117.7456,2709.3101,26,179,22.822356944444408,1
7433,261,144.0434,6628.8862,63,179,49.1201569444444,2
7434,261,94.7982,6723.6844,64,179,-0.1250430555555937,2
7466,262,143.442,9613.4888,96,179,48.51875694444442,3
7467,262,94.846,9708.3348,97,179,-0.0772430555555843,3
7500,262,143.8977,12720.3987,130,179,48.9744569444444,4
7501,262,94.3631,12814.7618,131,179,-0.5601430555555851,4
7515,262,133.7006,14100.3248,145,179,38.77735694444442,5
7516,262,94.3678,14194.6926,146,179,-0.5554430555555854,5
7571,263,144.0572,8637.0615,85,180,51.38231688311687,3
7572,263,95.4435,8732.505,86,180,2.768616883116877,3
7605,263,137.5835,14201.3718,146,180,44.90861688311686,5
7606,263,96.1716,14297.5434,147,180,3.496716883116875,5
7635,264,185.2033,2586.4271,25,180,92.52841688311689,1
7636,264,120.1785,2706.6056,26,180,27.503616883116877,1
7660,264,143.1564,11728.2752,119,180,50.48151688311687,4
7661,264,94.8794,11823.1546,120,180,2.204516883116881,4
7687,265,201.9864,5276.0916,50,180,109.31151688311688,2
7688,265,119.7441,5395.8357,51,180,27.06921688311688,2
7758,266,145.3958,8720.9344,86,181,51.570143846153854,3
7759,266,115.5305,8836.4649,87,181,21.70484384615385,3
7792,266,143.4309,11825.2523,120,181,49.605243846153854,4
7793,266,94.1623,11919.4146,121,181,0.3366438461538479,4
7825,267,170.7787,3874.7215,36,181,76.95304384615383,1
7826,267,95.5559,3970.2774,37,181,1.73024384615384,1
7841,267,197.9014,5609.9855,52,181,104.07574384615384,2
7842,267,97.3772,5707.3627,53,181,3.551543846153848,2
7875,267,139.6648,14821.5822,153,181,45.83914384615386,5
7876,267,114.9194,14936.5016,154,181,21.093743846153842,5
7898,268,200.3804,5275.6689,49,182,106.1727176870748,2
7899,268,118.6219,5394.2908,50,182,24.414217687074782,2
7933,268,143.3716,8632.4223,84,182,49.163917687074786,3
7934,268,95.0251,8727.4474,85,182,0.81741768707478,3
7967,268,147.3868,14727.241,151,182,53.17911768707478,5
7968,268,94.4121,14821.6531,152,182,0.20441768707478047,5
8025,269,148.414,3700.924,34,182,54.20631768707477,1
8026,269,111.2555,3812.1795,35,182,17.047817687074783,1
8040,269,143.8699,11722.2569,118,182,49.66221768707479,4
8041,269,95.7402,11817.9971,119,182,1.5325176870747867,4
8073,270,135.3104,9023.5696,87,183,39.33863560606059,3
8074,270,99.5508,9123.1204,88,183,3.5790356060606,3
8109,270,117.0264,12331.2434,123,183,21.0546356060606,4
8110,270,96.7378,12427.9812,124,183,0.7660356060605977,4
8121,270,130.8747,13462.6253,135,183,34.902935606060595,5
8122,270,96.592,13559.2173,136,183,0.6202356060606036,5
8183,271,173.2533,2550.9067,24,183,77.2815356060606,1
8184,271,139.0613,2689.968,25,183,43.08953560606059,1
8207,271,185.4604,5233.7777,48,183,89.4886356060606,2
8208,271,144.8416,5378.6193,49,183,48.869835606060605,2
8272,272,199.7495,2572.9108,26,184,105.66322537313432,1
8273,272,119.0358,2691.9466,27,184,24.949525373134307,1
